organization_name,donation_amount,donation_date,donation_frequency,donation_type,donor_category,first_donation_date,campaign_name,donation_purpose,contact_person,region
Charity Connect,37363.88,19/04/2021,Annual,Recurring,Corporate,20/02/2020,Disaster Relief,Environmental,Alex Davis,Middle East
Hope Partners,17459.8,22/03/2021,Monthly,One-time,Foundation,18/01/2018,Year End Campaign,Environmental,Sophia Brown,Europe
Future Enterprises,27445.48,16/08/2023,Monthly,Recurring,Non-profit,19/05/2023,Disaster Relief,Disaster Relief,Laura Jones,Middle East
Global Foundation,20880.28,07/08/2019,Quarterly,One-time,Corporate,25/09/2017,Year End Campaign,Environmental,Michael Anderson,Asia
Hope Partners,30541.07,19/10/2017,Quarterly,One-time,Corporate,10/01/2015,Healthcare Fund,Arts and Culture,John Williams,Middle East
Charity Connect,39669.04,01/04/2024,Annual,Recurring,Corporate,13/03/2020,Arts Support,Education,David Brown,Asia
Charity Connect,16982.77,25/01/2025,Monthly,Recurring,Foundation,27/09/2022,Spring Drive,Healthcare,Michael Taylor,North America
Community Builders,27175.99,12/04/2021,Annual,One-time,Foundation,07/03/2020,Arts Support,Disaster Relief,John Garcia,Asia
Charity Connect,31054.39,12/10/2018,Monthly,One-time,Non-profit,09/07/2018,Summer Giving,Healthcare,Alex Jones,Middle East
Community Builders,21763.82,18/02/2021,Annual,Recurring,Non-profit,13/11/2019,Education Initiative,Arts and Culture,David Brown,Middle East
Evergreen Impact,44886.9,13/10/2020,Monthly,Recurring,Non-profit,14/06/2018,Disaster Relief,Environmental,Emily Garcia,South America
Global Foundation,28593.91,29/03/2023,Annual,Recurring,Corporate,26/01/2019,Education Initiative,Education,Emily Smith,South America
Pioneer Philanthropy,22778.01,06/12/2023,Annual,Special Event,Non-profit,02/06/2017,Holiday Appeal,Community Support,Jane Taylor,Africa
Community Builders,19489.75,26/01/2021,Annual,One-time,Corporate,18/11/2015,Community Outreach,Environmental,Michael Smith,North America
Community Builders,48651.3,31/05/2018,Quarterly,Recurring,Foundation,27/08/2015,Spring Drive,Arts and Culture,Emily Smith,Africa
Evergreen Impact,43432.75,05/09/2024,Annual,One-time,Non-profit,19/07/2023,Education Initiative,Community Support,Sophia Wilson,South America
Evergreen Impact,29254.52,10/09/2022,Annual,Special Event,Foundation,10/03/2020,Research Grant,Healthcare,Robert Williams,Oceania
Future Enterprises,1415.96,11/03/2022,Quarterly,Special Event,Corporate,21/01/2018,Arts Support,Healthcare,Olivia Miller,Oceania
Community Builders,11371.42,10/11/2022,Quarterly,One-time,Non-profit,22/07/2022,Education Initiative,Research,Sarah Taylor,North America
Global Foundation,689.92,26/09/2021,Quarterly,One-time,Foundation,27/05/2021,Spring Drive,Arts and Culture,Olivia Garcia,North America
United Charities,47841.91,24/01/2019,Quarterly,Special Event,Corporate,06/04/2016,Summer Giving,Healthcare,Alex Williams,Middle East
Future Enterprises,36078.74,26/01/2024,Quarterly,Recurring,Non-profit,03/02/2023,Holiday Appeal,Environmental,Alex Brown,Europe
United Charities,14116.4,10/01/2024,Annual,Special Event,Corporate,21/07/2023,Year End Campaign,Research,Daniel Brown,Middle East
Solidarity Trust,42467.97,20/09/2019,Annual,Special Event,Corporate,22/04/2016,Holiday Appeal,Environmental,Daniel Davis,North America
Evergreen Impact,25895.79,11/03/2025,Annual,Recurring,Corporate,28/07/2023,Healthcare Fund,Arts and Culture,Robert Williams,Africa
Community Builders,27075.67,31/10/2017,Quarterly,One-time,Non-profit,16/08/2017,Summer Giving,Community Support,David Davis,Africa
Community Builders,39906.01,29/09/2022,Annual,One-time,Corporate,10/10/2019,Arts Support,Social Services,Sarah Davis,Europe
Visionary Solutions,20368.11,03/10/2022,Monthly,One-time,Non-profit,21/05/2022,Arts Support,Environmental,Michael Miller,Asia
Solidarity Trust,35322.82,07/12/2022,Annual,One-time,Foundation,04/04/2022,Education Initiative,Environmental,Daniel Wilson,North America
Solidarity Trust,12378.32,03/03/2020,Quarterly,Special Event,Non-profit,19/10/2015,Community Outreach,Social Services,Laura Johnson,Oceania
